begin at: Thu May 17 09:09:42 2018
1526537382.807719230652,1526537382.857156515121,0.049437284470
1526537387.872951984406,1526537387.877972841263,0.005020856857
1526537392.893908739090,1526537392.897922277451,0.004013538361
1526537397.914236068726,1526537397.919121503830,0.004885435104
1526537402.933668375015,1526537402.937649488449,0.003981113434
begin at: 2018-05-23 20:21:38.276229
begin at: 2018-05-23 20:24:28.842690
2018-05-23 20:24:28.822737,2018-05-23 20:24:28.847150,0:00:00.024413
2018-05-23 20:24:34.018377,2018-05-23 20:24:34.023564,0:00:00.005187
2018-05-23 20:24:39.268276,2018-05-23 20:24:39.278669,0:00:00.010393
2018-05-23 20:24:44.494449,2018-05-23 20:24:44.501386,0:00:00.006937
2018-05-23 20:24:49.718937,2018-05-23 20:24:49.723680,0:00:00.004743
2018-05-23 20:24:54.954268,2018-05-23 20:24:54.964536,0:00:00.010268
2018-05-23 20:25:00.186006,2018-05-23 20:25:00.192263,0:00:00.006257
2018-05-23 20:25:05.411519,2018-05-23 20:25:05.416866,0:00:00.005347
2018-05-23 20:25:10.640520,2018-05-23 20:25:10.648598,0:00:00.008078
2018-05-23 20:25:15.879261,2018-05-23 20:25:15.886328,0:00:00.007067
2018-05-23 20:25:21.073043,2018-05-23 20:25:21.079468,0:00:00.006425
2018-05-23 20:25:26.288292,2018-05-23 20:25:26.291899,0:00:00.003607
2018-05-23 20:25:31.490596,2018-05-23 20:25:32.610500,0:00:01.119904
2018-05-23 20:25:42.896000,2018-05-23 20:25:42.898000,0:00:00.002000
2018-05-23 20:26:03.292500,2018-05-23 20:26:03.295000,0:00:00.002500
2018-05-23 20:26:23.567000,2018-05-23 20:26:23.572000,0:00:00.005000
2018-05-23 20:26:43.889500,2018-05-23 20:26:42.779358,-1 day, 23:59:58.889858
2018-05-23 20:26:52.951351,2018-05-23 20:26:52.999835,0:00:00.048484
2018-05-23 20:26:58.068378,2018-05-23 20:26:58.072334,0:00:00.003956
2018-05-23 20:27:03.191065,2018-05-23 20:27:03.194069,0:00:00.003004
2018-05-23 20:27:08.294080,2018-05-23 20:27:08.297105,0:00:00.003025
2018-05-23 20:27:13.349733,2018-05-23 20:27:13.352821,0:00:00.003088
2018-05-23 20:27:18.407817,2018-05-23 20:27:18.410819,0:00:00.003002
2018-05-23 20:27:23.471058,2018-05-23 20:27:23.473602,0:00:00.002544
2018-05-23 20:27:28.600583,2018-05-23 20:27:28.604075,0:00:00.003492
2018-05-23 20:27:33.704877,2018-05-23 20:27:33.709831,0:00:00.004954
2018-05-23 20:27:38.801118,2018-05-23 20:27:38.804097,0:00:00.002979
2018-05-23 20:27:43.919595,2018-05-23 20:27:43.922547,0:00:00.002952
2018-05-23 20:27:49.037347,2018-05-23 20:27:49.041315,0:00:00.003968
2018-05-23 20:27:54.147826,2018-05-23 20:27:54.151831,0:00:00.004005
2018-05-23 20:27:59.251074,2018-05-23 20:27:59.253528,0:00:00.002454
2018-05-23 20:28:04.345070,2018-05-23 20:28:04.348077,0:00:00.003007
2018-05-23 20:28:09.399809,2018-05-23 20:28:09.403290,0:00:00.003481
2018-05-23 20:28:14.503377,2018-05-23 20:28:14.506358,0:00:00.002981
2018-05-23 20:28:19.599085,2018-05-23 20:28:19.603075,0:00:00.003990
2018-05-23 20:28:24.697044,2018-05-23 20:28:24.699584,0:00:00.002540
2018-05-23 20:28:29.799359,2018-05-23 20:28:29.802881,0:00:00.003522
2018-05-23 20:28:34.903370,2018-05-23 20:28:34.905922,0:00:00.002552
2018-05-23 20:28:39.989147,2018-05-23 20:28:39.992055,0:00:00.002908
2018-05-23 20:28:45.080131,2018-05-23 20:28:45.083590,0:00:00.003459
2018-05-23 20:28:50.174404,2018-05-23 20:28:50.179920,0:00:00.005516
2018-05-23 20:28:55.268892,2018-05-23 20:28:55.273422,0:00:00.004530
2018-05-23 20:29:00.366162,2018-05-23 20:29:00.369601,0:00:00.003439
2018-05-23 20:29:05.430083,2018-05-23 20:29:05.433584,0:00:00.003501
2018-05-23 20:29:10.545314,2018-05-23 20:29:10.548345,0:00:00.003031
2018-05-23 20:29:15.638811,2018-05-23 20:29:15.641896,0:00:00.003085
2018-05-23 20:29:20.730636,2018-05-23 20:29:20.734576,0:00:00.003940
2018-05-23 20:29:25.783615,2018-05-23 20:29:25.785622,0:00:00.002007
2018-05-23 20:29:30.797324,2018-05-23 20:29:30.799950,0:00:00.002626
begin at: 2018-05-23 20:34:15.337699
2018-05-23 20:34:15.316118,2018-05-23 20:34:15.344582,0:00:00.028464
2018-05-23 20:34:20.377577,2018-05-23 20:34:20.381150,0:00:00.003573
begin at: 2018-05-23 20:36:35.965171
2018-05-23 20:36:35.921094,2018-05-23 20:36:35.979572,0:00:00.058478
2018-05-23 20:36:41.029417,2018-05-23 20:36:41.033081,0:00:00.003664
